Codigo,#,Región,Municipios,POBLACIÓN 2008,POBLACIÓN 2009,POBLACIÓN 2010,POBLACIÓN 2011,POBLACIÓN 2012,POBLACIÓN 2013,POBLACIÓN 2014,POBLACIÓN 2015,CASOS 2008,CASOS 2009,CASOS 2010,CASOS 2011,CASOS 2012,CASOS 2013,CASOS 2014,CASOS 2015,(TASA  X 100.000  Hb) 2008,(TASA  X 100.000  Hb) 2009,(TASA  X 100.000  Hb) 2010,(TASA  X 100.000  Hb) 2011,(TASA  X 100.000  Hb) 2012,(TASA  X 100.000  Hb) 2013,(TASA  X 100.000  Hb) 2014,(TASA  X 100.000  Hb) 2015
52001,1,CEN,Pasto,400055,405882,411697,417484,423217,428890,434486,439993,0,0,0,0,196,598,924,1072,0,0,0,0,46.3,139.4,212.7,243.6
52019,2,RIO,Albán,20125,20411,20688,20980,21270,21558,21849,22131,0,0,0,0,5,6,6,8,0,0,0,0,23.5,27.8,27.5,36.1
52215,14,EXP,Córdoba,13687,13743,13795,13844,13889,13932,13970,14006,0,0,0,0,0,9,13,27,0,0,0,0,0,64.6,93.1,192.8
52786,60,COR,Taminango,18113,18441,18775,19112,19468,19819,20177,20537,0,0,0,0,7,0,13,13,0,0,0,0,36,0,64.4,63.3
52418,38,GUA,Los Andes,17145,17437,17766,18084,18403,18738,19078,19414,0,0,0,0,10,13,22,55,0,0,0,0,54.3,69.4,115.3,283.3
52835,62,PAS,Tumaco,171281,175093,179005,183006,187084,191218,195419,199659,0,0,0,0,41,377,660,585,0,0,0,0,21.9,197.2,337.7,293
52720,59,SAB,Sapuyes,7124,7017,6903,6797,6681,6575,6461,6355,0,0,0,0,0,5,1,11,0,0,0,0,0,76,15.5,173.1
52838,63,SAB,Túquerres,41194,41122,41046,40966,40881,40792,40698,40599,0,0,0,0,35,61,79,60,0,0,0,0,85.6,149.5,194.1,147.8
52621,51,TEL,Roberto Payán,18460,19010,19557,20132,20725,21332,21961,22613,0,0,0,0,0,5,11,9,0,0,0,0,0,23.4,50.1,39.8
52685,53,RIO,San Bernardo,15662,16136,16617,17116,17624,18146,18672,19201,0,0,0,0,0,3,9,6,0,0,0,0,0,16.5,48.2,31.2
52687,54,JUA,San Lorenzo,18818,18962,19108,19261,19409,19546,19702,19849,0,0,0,0,0,1,18,19,0,0,0,0,0,5.1,91.4,95.7
52683,56,OCC,Sandoná,25402,25454,25503,25547,25588,25624,25656,25685,0,0,0,0,2,23,23,19,0,0,0,0,7.8,89.8,89.6,74
52696,57,SAN,Santa Bárbara,15133,15088,15034,14993,14937,14878,14818,14752,0,0,0,0,2,22,18,12,0,0,0,0,13.4,147.9,121.5,81.3
52694,9,JUA,Cartago,7200,7257,7306,7348,7392,7447,7492,7539,0,0,0,0,3,4,10,5,0,0,0,0,40.6,53.7,133.5,66.3
52405,36,COR,Leiva,12422,12631,12836,13039,13252,13449,13666,13849,0,0,0,0,1,1,8,21,0,0,0,0,7.5,7.4,58.5,151.6
