"año","departamento","municipio","numero_de_muestras","promedio_irca","nivel_de_riesgo"
"2012","Nariño","La Cruz","195","48.96","ALTO"
"2012","Nariño","Puerres","135","50.61","ALTO"
"2012","Nariño","Yacuanquer","99","42.44","ALTO"
"2012","Nariño","Cuaspud","28","29.28","MEDIO"
"2012","Nariño","Santa Bárbara","7","28.21","MEDIO"
"2012","Nariño","Nariño","30","60.8","ALTO"
"2012","Nariño","Túquerres","410","49.68","ALTO"
"2012","Nariño","Ancuyá","103","50.12","ALTO"
"2012","Nariño","San Pedro De Cartago","138","60.69","ALTO"
"2012","Nariño","Leiva","108","51.6","ALTO"
"2012","Nariño","Belén","71","55.59","ALTO"
"2012","Nariño","El Peñol","54","42.2","ALTO"
"2012","Nariño","Taminango","67","35.75","ALTO"
"2012","Nariño","Buesaco","178","51.3","ALTO"
"2012","Nariño","Tangua","208","26.75","MEDIO"
"2012","Nariño","Los Andes","146","46.85","ALTO"
"2012","Nariño","Olaya Herrera","40","78.43","ALTO"
"2012","Nariño","San Lorenzo","289","65.49","ALTO"
"2012","Nariño","La Tola","11","41.99","ALTO"
"2012","Nariño","Albán","84","24.39","MEDIO"
"2012","Nariño","Funes","78","49.64","ALTO"
"2012","Nariño","Potosí","107","48.89","ALTO"
"2012","Nariño","El Tablón De Gómez","270","48.89","ALTO"
"2012","Nariño","Arboleda","115","64.1","ALTO"
"2012","Nariño","San Bernardo","164","59.89","ALTO"
"2012","Nariño","La Florida","149","28","MEDIO"
"2012","Nariño","Gualmatán","66","48.09","ALTO"
"2012","Nariño","El Tambo","212","18.78","MEDIO"
"2012","Nariño","Roberto Payán","6","63.77","ALTO"
"2012","Nariño","Mosquera","12","28.17","MEDIO"
"2012","Nariño","San Pablo","262","59.53","ALTO"
"2012","Nariño","Magüi","7","52.64","ALTO"
"2012","Nariño","Contadero","117","40.93","ALTO"
"2012","Nariño","Imués","106","45.3","ALTO"
"2012","Nariño","La Unión","225","61.48","ALTO"
"2012","Nariño","El Charco","13","37.81","ALTO"
"2012","Nariño","Mallama","97","56.71","ALTO"
"2012","Nariño","La Llanada","68","43.62","ALTO"
"2012","Nariño","Cumbal","174","31.33","MEDIO"
"2012","Nariño","Guachucal","173","28.4","MEDIO"
"2012","Nariño","Chachagüí","137","41.51","ALTO"
"2012","Nariño","Barbacoas","67","55.09","ALTO"
"2012","Nariño","Samaniego","497","63.67","ALTO"
"2012","Nariño","San Andres De Tumaco","73","63.13","ALTO"
"2012","Nariño","Colón","160","59.26","ALTO"
"2012","Nariño","Córdoba","77","48.37","ALTO"
"2012","Nariño","Pasto","1196","23.16","MEDIO"
"2012","Nariño","Ipiales","262","37.48","ALTO"
"2012","Nariño","Consaca","113","53.25","ALTO"
"2012","Nariño","Francisco Pizarro","12","83.09","INVIABLE SANITARIAMENTE"
"2012","Nariño","Aldana","48","21.35","MEDIO"
"2012","Nariño","Ricaurte","117","63.22","ALTO"
"2012","Nariño","Santacruz","124","53.21","ALTO"
"2012","Nariño","Pupiales","70","52.15","ALTO"
"2012","Nariño","Policarpa","110","55.66","ALTO"
"2012","Nariño","Ospina","54","12.42","BAJO"
"2012","Nariño","El Rosario","114","65.27","ALTO"
"2012","Nariño","Sandoná","229","7.42","BAJO"
"2012","Nariño","Sapuyes","127","14.45","MEDIO"
"2012","Nariño","Guaitarilla","205","41.82","ALTO"
"2012","Nariño","Linares","142","61.68","ALTO"
"2012","Nariño","Iles","175","28.01","MEDIO"
"2012","Nariño","Cumbitara","108","54.06","ALTO"
"2012","Nariño","Providencia","108","62.41","ALTO"
