MINISTERIO DE DEFENSA NACIONAL,,,,,,,,,,,,,
POLICÍA NACIONAL,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
DIRECCIÓN DE INVESTIGACIÓN CRIMINAL E INTERPOL,,,,,,,,,,,,,
SECUESTRO,,,,,,,,,,,,,
PERÍODO  DEL 01 DE ENERO AL 31 DE DICIEMBRE AÑOS 2010-2016,,,,,,,,,,,,,
DIVIPOLA,DEPARTAMENTO POLÍTICO,MUNICIPIO_HECHO,MES,GENERO,EDAD,CLASE_EMPLEADO,2010,2011,2012,2013,2014,2015,2016
05001,ANTIOQUIA,MEDELLÍN (CT),ene,FEMENINO,17,ESTUDIANTE,1,0,0,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),ene,FEMENINO,23,EMPLEADO POLICIAL,0,0,0,0,0,1,0
05001,ANTIOQUIA,MEDELLÍN (CT),ene,FEMENINO,35,EMPLEADO PARTICULAR,0,0,0,0,0,1,0
05001,ANTIOQUIA,MEDELLÍN (CT),ene,MASCULINO,20,ESTUDIANTE,0,0,0,1,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),ene,MASCULINO,25,COMERCIANTE,0,0,0,0,1,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),ene,MASCULINO,26,COMERCIANTE,0,0,0,0,0,0,1
05001,ANTIOQUIA,MEDELLÍN (CT),ene,MASCULINO,29,EMPLEADO PARTICULAR,0,0,0,0,1,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),ene,MASCULINO,31,EMPLEADO PARTICULAR,0,1,0,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),ene,MASCULINO,33,EMPLEADO PARTICULAR,0,0,0,0,0,1,0
05001,ANTIOQUIA,MEDELLÍN (CT),ene,MASCULINO,39,COMERCIANTE,0,0,0,0,0,0,1
05001,ANTIOQUIA,MEDELLÍN (CT),feb,MASCULINO,6,ESTUDIANTE,0,0,0,0,1,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),feb,MASCULINO,20,ESTUDIANTE,0,0,0,0,0,0,1
05001,ANTIOQUIA,MEDELLÍN (CT),feb,MASCULINO,36,EMPLEADO PARTICULAR,0,0,0,0,0,0,1
05001,ANTIOQUIA,MEDELLÍN (CT),feb,MASCULINO,40,COMERCIANTE,0,1,0,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),feb,MASCULINO,59,COMERCIANTE,0,0,0,0,0,0,1
05001,ANTIOQUIA,MEDELLÍN (CT),mar,FEMENINO,32,AMA DE CASA,0,0,0,0,0,0,1
05001,ANTIOQUIA,MEDELLÍN (CT),mar,MASCULINO,21,EMPLEADO PARTICULAR,0,0,1,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),mar,MASCULINO,29,EMPLEADO PARTICULAR,1,0,0,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),mar,MASCULINO,41,EMPLEADO PARTICULAR,0,0,0,0,0,0,1
05001,ANTIOQUIA,MEDELLÍN (CT),mar,MASCULINO,53,EMPLEADO PARTICULAR,0,0,0,0,0,0,1
05001,ANTIOQUIA,MEDELLÍN (CT),abr,MASCULINO,33,EMPLEADO PARTICULAR,0,0,0,0,0,0,2
05001,ANTIOQUIA,MEDELLÍN (CT),may,FEMENINO,20,EMPLEADO PARTICULAR,0,0,1,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),may,MASCULINO,12,ESTUDIANTE,0,0,0,0,0,0,1
05001,ANTIOQUIA,MEDELLÍN (CT),may,MASCULINO,23,EMPLEADO PARTICULAR,0,1,0,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),may,MASCULINO,30,COMERCIANTE,0,0,0,0,1,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),jun,FEMENINO,53,EMPLEADO PARTICULAR,0,0,0,0,1,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),jun,MASCULINO,0,NO REPORTA,1,0,0,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),jun,MASCULINO,21,DESEMPLEADO,0,0,0,1,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),jun,MASCULINO,28,COMERCIANTE,0,1,0,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),jun,MASCULINO,37,COMERCIANTE,0,1,0,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),jun,MASCULINO,49,GANADERO,1,0,0,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),jun,MASCULINO,50,EMPLEADO PARTICULAR,0,0,0,0,0,0,1
05001,ANTIOQUIA,MEDELLÍN (CT),jun,MASCULINO,59,EMPLEADO PARTICULAR,0,0,0,0,0,1,0
05001,ANTIOQUIA,MEDELLÍN (CT),jul,FEMENINO,18,EMPLEADO PARTICULAR,0,0,0,0,0,0,1
05001,ANTIOQUIA,MEDELLÍN (CT),jul,FEMENINO,18,ESTUDIANTE,0,0,0,0,1,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),jul,MASCULINO,19,ESTUDIANTE,0,0,0,1,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),jul,MASCULINO,29,EMPLEADO PARTICULAR,0,0,0,0,0,0,1
05001,ANTIOQUIA,MEDELLÍN (CT),jul,MASCULINO,38,COMERCIANTE,0,0,1,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),jul,MASCULINO,39,COMERCIANTE,1,0,0,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),jul,MASCULINO,40,COMERCIANTE,0,1,0,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),jul,MASCULINO,43,EMPLEADO PARTICULAR,0,0,0,0,0,0,1
05001,ANTIOQUIA,MEDELLÍN (CT),jul,MASCULINO,51,EMPLEADO PARTICULAR,0,0,0,0,0,0,1
05001,ANTIOQUIA,MEDELLÍN (CT),jul,MASCULINO,-,COMERCIANTE,0,0,1,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),ago,FEMENINO,1,NO REPORTA,0,0,1,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),ago,FEMENINO,19,ESTUDIANTE,0,0,0,0,0,1,0
05001,ANTIOQUIA,MEDELLÍN (CT),ago,FEMENINO,20,EMPLEADO PARTICULAR,0,0,0,0,0,0,1
05001,ANTIOQUIA,MEDELLÍN (CT),ago,FEMENINO,36,EMPLEADO PARTICULAR,0,0,0,0,1,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),ago,FEMENINO,40,AMA DE CASA,0,0,0,0,0,0,1
05001,ANTIOQUIA,MEDELLÍN (CT),ago,MASCULINO,1,NO REPORTA,1,0,0,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),ago,MASCULINO,27,EMPLEADO PARTICULAR,0,0,0,0,0,1,0
05001,ANTIOQUIA,MEDELLÍN (CT),ago,MASCULINO,29,EMPLEADO PARTICULAR,0,0,1,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),sep,FEMENINO,23,COMERCIANTE,0,1,0,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),sep,FEMENINO,30,EMPLEADO PARTICULAR,0,0,0,0,0,1,0
05001,ANTIOQUIA,MEDELLÍN (CT),sep,MASCULINO,24,EMPLEADO PARTICULAR,0,1,0,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),sep,MASCULINO,25,EMPLEADO PARTICULAR,0,1,0,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),sep,MASCULINO,30,EMPLEADO PARTICULAR,0,0,0,0,0,2,0
05001,ANTIOQUIA,MEDELLÍN (CT),sep,MASCULINO,39,EMPLEADO PUBLICO,0,0,0,0,0,1,0
05001,ANTIOQUIA,MEDELLÍN (CT),sep,MASCULINO,46,EMPLEADO PARTICULAR,0,0,1,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),sep,MASCULINO,50,EMPLEADO PARTICULAR,0,0,0,1,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),sep,MASCULINO,55,EMPLEADO PARTICULAR,0,0,0,0,0,1,0
05001,ANTIOQUIA,MEDELLÍN (CT),oct,FEMENINO,28,EMPLEADO PARTICULAR,0,0,1,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),oct,MASCULINO,18,EMPLEADO PARTICULAR,0,0,0,0,0,0,1
05001,ANTIOQUIA,MEDELLÍN (CT),oct,MASCULINO,24,EMPLEADO PARTICULAR,0,0,0,0,0,0,1
05001,ANTIOQUIA,MEDELLÍN (CT),oct,MASCULINO,31,EMPLEADO PARTICULAR,0,0,0,0,0,0,1
05001,ANTIOQUIA,MEDELLÍN (CT),oct,MASCULINO,34,GANADERO,0,0,0,1,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),oct,MASCULINO,35,EMPLEADO PARTICULAR,0,0,0,0,0,0,1
05001,ANTIOQUIA,MEDELLÍN (CT),oct,MASCULINO,52,COMERCIANTE,0,0,1,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),nov,FEMENINO,18,ESTUDIANTE,0,1,0,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),nov,FEMENINO,21,DESEMPLEADO,0,0,0,0,0,1,0
05001,ANTIOQUIA,MEDELLÍN (CT),nov,FEMENINO,24,EMPLEADO PARTICULAR,0,0,0,0,0,1,0
05001,ANTIOQUIA,MEDELLÍN (CT),nov,MASCULINO,31,EMPLEADO PARTICULAR,0,1,0,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),nov,MASCULINO,49,EMPLEADO PARTICULAR,0,0,1,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),nov,MASCULINO,50,COMERCIANTE,1,0,0,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),dic,FEMENINO,1,DESEMPLEADO,0,0,0,1,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),dic,FEMENINO,23,ESTUDIANTE,1,0,0,0,0,0,0
05001,ANTIOQUIA,MEDELLÍN (CT),dic,FEMENINO,33,EMPLEADO PARTICULAR,0,0,0,0,0,0,1
05001,ANTIOQUIA,MEDELLÍN (CT),dic,MASCULINO,35,COMERCIANTE,0,0,0,0,0,0,1
05001,ANTIOQUIA,MEDELLÍN (CT),dic,MASCULINO,53,COMERCIANTE,0,0,0,1,0,0,0
05031,ANTIOQUIA,AMALFI,jul,MASCULINO,30,EMPLEADO PARTICULAR,0,0,1,0,0,0,0
05031,ANTIOQUIA,AMALFI,sep,MASCULINO,21,EMPLEADO PARTICULAR,0,0,0,1,0,0,0
05031,ANTIOQUIA,AMALFI,sep,MASCULINO,27,EMPLEADO PARTICULAR,0,0,0,1,0,0,0
05038,ANTIOQUIA,ANGOSTURA,jul,FEMENINO,51,AMA DE CASA,0,0,0,1,0,0,0
05038,ANTIOQUIA,ANGOSTURA,jul,MASCULINO,68,EMPLEADO PARTICULAR,0,0,0,1,0,0,0
05042,ANTIOQUIA,SANTAFÉ DE ANTIOQUIA,ago,FEMENINO,8,ESTUDIANTE,0,0,0,0,1,0,0
05045,ANTIOQUIA,APARTADÓ,may,MASCULINO,0,NO REPORTA,0,1,0,0,0,0,0
05045,ANTIOQUIA,APARTADÓ,jul,MASCULINO,26,EMPLEADO PARTICULAR,1,0,0,0,0,0,0
